userId,movieId
618,200004
618,2959
618,200319
618,296
618,112552
618,7361
618,200317
618,171763
618,356
618,200226
618,593
618,200850
618,6874
618,168492
618,79702
618,200052
618,177765
618,88129
618,201102
618,200240
618,1968
618,104879
618,201883
618,51540
618,115149
618,5989
618,6711
618,215
618,48516
618,200339
618,201059
618,133771
618,178061
618,551
618,201985
618,182715
618,903
618,5995
618,116797
618,2762
618,148626
618,200238
618,200218
618,133645
618,201482
618,201145
618,109374
618,180985
618,45880
618,201155
618,104374
618,200381
618,200370
618,200374
618,200375
618,200993
618,200378
618,200987
618,202256
618,202297
618,202592
618,202576
618,201230
618,201950
618,202282
618,202215
618,106920
618,201752
618,99728
618,200766
618,202295
618,201198
618,200534
618,46578
618,51834
618,66090
618,201244
618,202690
618,3949
618,4878
618,8373
618,200065
618,114935
618,200320
618,90057
618,200406
618,200956
618,39427
618,201252
618,69122
618,97921
618,202336
618,201267
618,200412
618,200205
618,72731
618,200325
618,200884
618,44193
618,200048
618,201223
618,158783
618,202360
618,201562
618,202546
618,200113
618,200012
618,200028
623,104374
623,8533
623,6874
623,109374
623,158783
623,200850
623,37729
623,201232
623,201833
623,200067
623,202310
623,200068
623,200400
623,201240
623,179133
623,200408
623,201272
623,202705
623,200196
623,201164
623,200811
623,201226
623,200412
623,158238
623,41571
623,48997
623,201198
623,200552
623,69640
623,55908
623,202270
623,200381
623,45720
623,27773
623,201285
623,3949
623,26082
623,27156
623,202350
623,79702
623,201309
623,201291
623,65261
623,8607
623,201305
623,200436
623,202368
623,353
623,73321
623,26713
623,86882
623,78039
623,201018
623,2716
623,91658
624,201272
624,200400
624,200068
624,201255
624,72226
624,200438
624,171763
624,201298
624,79702
624,7451
624,66097
624,106920
624,45720
624,200412
624,202634
624,200370
624,31658
624,200323
624,200850
624,200317
624,4306
624,201064
624,924
624,201312
624,202625
624,200379
624,3000
624,56782
624,133771
624,201084
624,2671
624,6016
624,152081
624,201075
624,166528
624,183897
624,1732
624,1208
624,201197
624,202362
624,200993
624,200002
625,200005
625,200237
625,109374
625,5618
625,99114
625,1213
625,200056
625,200980
625,201170
625,200339
625,110553
625,5995
625,1307
625,165549
625,202204
625,100714
625,2023
625,200336
625,200064
625,200374
625,2712
625,778
625,6502
625,4011
625,2542
625,200370
625,2019
625,2672
625,1748
625,63072
625,47
625,200517
625,7323
625,31410
625,1219
625,924
625,6
625,56782
625,202889
625,200341
625,200205
625,200040
625,202219
625,201197
625,200379
625,200375
625,201247
625,201248
625,200626
625,201253
625,200410
625,202716
625,202360
625,203159
625,200432
625,202709
625,200429
625,80463
626,353
626,200635
626,1101
626,200509
626,200323
626,903
626,586
626,2959
626,200426
626,318
627,200041
627,201255
627,106920
627,86882
627,106782
627,1270
627,125914
627,79132
627,72294
627,200064
627,200393
627,200355
627,202366
627,113741
627,200689
627,541
627,200004
627,200440
627,1225
627,6874
627,2953
627,148626
628,89047
628,71108
628,6818
628,4888
628,68194
628,200573
628,8533
628,4881
628,3916
628,4103
628,8949
628,475
628,52604
628,200500
628,1673
628,4034
628,6370
628,47099
628,48043
628,3730
628,1209
628,1729
628,200148
628,200149
628,200588
628,76091
628,319
628,53161
628,31658
628,55276
628,7982
628,1968
628,51709
