K_Threshold,NDCG@10
5,0.4592005609226214
10,0.4604130559309177
15,0.4627760404409079
20,0.4632978643775984
30,0.46433746886418886
40,0.4633422693951235
50,0.4657796991561025
60,0.5810257076390374
100,0.5810257076390374
