w_ubcf,w_cbf,NDCG@10
0.0,1.0,0.5750788437330298
0.05,0.95,0.5967066990619452
0.1,0.9,0.5932385527052416
0.15,0.85,0.5923258326778147
0.2,0.8,0.5799689512788859
0.25,0.75,0.56618571004281
0.3,0.7,0.5642578505960608
0.35,0.65,0.5489336578997077
0.4,0.6,0.534447048071304
0.45,0.55,0.5245103212204953
0.5,0.5,0.5073081797562657
