model_type,aggregation,disagreement_penalty,top_k,group_ndcg,fairness,coverage,composite_score,num_groups
WatchlistRecommender,AVG_Profile,0.0,10,0.7965019236577126,0.21475405625231272,0.15199319104440218,0.5638027766955527,17
WatchlistRecommender,AVG_Profile,0.5,10,0.7492812640882783,0.16641791514838777,0.08285545818988728,0.5161359245123222,12
WatchlistRecommender,AVG_Profile,1.0,10,0.47804115098905753,0.06543819344922629,0.0222319241616526,0.312999967973125,7
Hybrid3_Baseline,AVERAGE,0.0,10,0.9909142788793982,0.5008590882477773,0.38885040398361936,0.7948922026267499,19
Hybrid3_Enhanced,MIN,0.0,10,0.9022814754287165,0.10268614890836164,0.01210838554992119,0.5824433448205746,5
Hybrid3_Enhanced,HARMONIC_MEAN,0.0,10,0.7890089133806034,0.18087769950583624,0.08991154626516182,0.5457564278306966,14
Hybrid3_WithPenalty,AVERAGE,0.5,10,0.8550962294374871,0.32256667028034636,0.2410276055820436,0.6420844057746308,18
Hybrid3_WithPenalty,AVERAGE,1.0,10,0.9635961947052623,0.10268614890836164,0.011551764856000724,0.619232176386502,5
