Method,Group_Size,group_ndcg,fairness,coverage,num_groups
Hybrid Model 3 (MAX),size_2,1.0,0.5859961577262833,0.22759661835748793,5
Hybrid Model 3 (MAX),size_3,0.9912711237886308,0.4750316963017917,0.12525576758065582,3
Hybrid Model 3 (MAX),size_4,0.9947974422233977,0.4160368121377863,0.12005390835579516,2
Watchlist Rec (Consensus),size_2,0.8402755543587441,0.21602926079527304,0.10992753623188407,5
Watchlist Rec (Consensus),size_3,0.8026568450435172,0.25989876372743165,0.04826182262843962,3
Watchlist Rec (Consensus),size_4,0.6212879399752178,0.26014087752152476,0.05002695417789758,2
