similarity,params,K_NEIGH,K_PRED,RMSE,MAE,Coverage
pearson_raw,{},10,5,0.9829447280438711,0.7727432611722131,1.0
pearson_raw,{},10,10,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},10,20,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},10,40,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},25,5,0.9829447280438711,0.7727432611722131,1.0
pearson_raw,{},25,10,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},25,20,0.9764359709126694,0.771912115387209,1.0
pearson_raw,{},25,40,0.9703119645841759,0.7656486452135897,1.0
pearson_raw,{},50,5,0.9829447280438711,0.7727432611722131,1.0
pearson_raw,{},50,10,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},50,20,0.9764359709126694,0.771912115387209,1.0
pearson_raw,{},50,40,0.9541570386401762,0.7543738703538866,1.0
pearson_raw,{},75,5,0.9829447280438711,0.7727432611722131,1.0
pearson_raw,{},75,10,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},75,20,0.9764359709126694,0.771912115387209,1.0
pearson_raw,{},75,40,0.9541570386401762,0.7543738703538866,1.0
pearson_raw,{},100,5,0.9829447280438711,0.7727432611722131,1.0
pearson_raw,{},100,10,0.9876541564093317,0.7761891397876064,1.0
pearson_raw,{},100,20,0.9764359709126694,0.771912115387209,1.0
pearson_raw,{},100,40,0.9541570386401762,0.7543738703538866,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",10,5,0.9858978961655149,0.7749397931874799,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",10,10,0.9858260184545077,0.7736454256071429,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",10,20,0.9858260184545077,0.7736454256071429,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 5}",10,40,0.9858260184545077,0.7736454256071429,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",10,5,0.9817012053362741,0.7709373426493252,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",10,10,0.9867242755646619,0.7773778606211778,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",10,20,0.9867242755646619,0.7773778606211778,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 10}",10,40,0.9867242755646619,0.7773778606211778,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",10,5,0.9955902858581636,0.7798564090787821,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",10,10,0.9858331753912957,0.7759105947158242,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",10,20,0.9858331753912957,0.7759105947158242,1.0
pearson_sw,"{'MIN_OVERLAP': 2, 'K_SW': 20}",10,40,0.9858331753912957,0.7759105947158242,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",10,5,0.9852464060967729,0.7729689225488052,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",10,10,0.9881783062350901,0.7776320876769564,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",10,20,0.9881783062350901,0.7776320876769564,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 5}",10,40,0.9881783062350901,0.7776320876769564,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",10,5,0.982750901061898,0.7698563809445639,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",10,10,0.985959566725923,0.7771262150809072,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",10,20,0.985959566725923,0.7771262150809072,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 10}",10,40,0.985959566725923,0.7771262150809072,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 20}",10,5,0.9949616131543071,0.7786464155298668,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 20}",10,10,0.9838485579167328,0.7748733628328156,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 20}",10,20,0.9838485579167328,0.7748733628328156,1.0
pearson_sw,"{'MIN_OVERLAP': 5, 'K_SW': 20}",10,40,0.9838485579167328,0.7748733628328156,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 5}",10,5,0.9918613845455743,0.7780492355649836,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 5}",10,10,0.9918174748337176,0.7803572897919886,1.0
pearson_sw,"{'MIN_OVERLAP': 10, 'K_SW': 5}",10,20,0.9918174748337176,0.7803572897919886,1.0
