w_ubcf,w_cbf,aggregation,group_ndcg,fairness,num_groups
0.0,1.0,average,0.36433512450223055,0.8518683778922825,30
0.05,0.95,average,0.3933259208744209,0.8503511881768959,30
0.1,0.9,average,0.40076349126119803,0.8492073719431988,30
0.15,0.85,average,0.3787621108550975,0.8482608829022008,30
0.2,0.8,average,0.3517215251503746,0.8513404751549956,30
0.25,0.75,average,0.33278056639966364,0.8496135922271204,30
0.1,0.9,average,0.40076349126119803,0.8492073719431988,30
0.1,0.9,least_misery,0.40601770380285085,0.930804170142885,30
0.1,0.9,harmonic_mean,0.40254083724617196,0.8692653792932776,30
